video_url,video_description,like_count,sentiment
https://www.tiktok.com/@aarinnola/video/7593777591492807958,"The CeraVe moisturizing lotion is my most purchased moisturizer. 4 years locked in and I'm not looking back anytime soon. I'm such a loyal babe. What is your most purchased moisturizer? Have you tried the skincare lotion moisturizer? CeraVe moisturizing lotion before

#skincare #lotion #moisturizer",31,positive
https://www.tiktok.com/@rubysacne/video/7628636046015646989,Replying to @shelbie_banister17 my thoughts on the new Cerave mineralspf #mineralsunscreen # “Invisible” mineral sunscreen #cerave,1499,neutral
https://www.tiktok.com/@thementorg1/video/7631321178551897357,"Is CeraVe ruining your skin? 🧴👎 Most men are blindly using this product without understanding what it’s actually doing to their face. In this video, I break down why it might be time to leave CeraVe behind — and what to use instead if you want real results.Whether you’re struggling with dry skin, breakouts, or dull texture — this is your wake-up call. Tap in and upgrade your skincare routine. 📍For more self-care, skincare, and CeraVe #SkincareForMen# .cologne game for men, follow thementorg# SelfCareForMen# GroomingTips# StopUsingThis# MenSkinCare# MenGlowUp# MensRoutine# FaceCare# TheMentorg# SkincareMistakes# SkincareTruth# ClearSkinJourney# FragranceAndFace# MensLifestyle# HealthySkinTips#",34,negative
https://www.tiktok.com/@adamrobertlamb/video/7437790256453225761,"Rating Popular CeraVe Cleansers from BEST to WORST!
#skincare101 #ceraveskincare #cerave #affordableskincare #skincaretips #skincaretiktok",164,neutral
https://www.tiktok.com/@natalie_oneillll/video/7324377521313582368,"I’ve said goodbye to ever working with Cerave many times, what’s another one? These are 4 acne products that I personally think often make acne a lot worse. Sometimes the product is poor, other times its the way it’s used incorrectly (usually shown on social media this way). This is a video for the edge cases, I’m sure many people also love these #badskincarehabits #worstskincareadvice #worstskincareproducts #skincaresmashorpass #viralskincare #overratedskincare",72100,negative
https://www.tiktok.com/@xomissvi/video/7661419405603065102,"I had my tinted SPF on for about a little over 8 hours so it was time to remove once I got home from work. I wasn't impressed by this makeup melter. It claimed to be able to remove waterproof and stubborn makeup but it did not. I'd had other amazing makeup remover products that does the job super quickly with little effort. This one I'll rate a 6/10 😳

#makeup #fyp #skin #ceravepartner #cerave",7,neutral
https://www.tiktok.com/@prince_kkyy/video/7559045491355389214,RETURNED THAT LOTION REAL QUICK TODAY! 🤢🤢🤢🤢 #cerave #skincare,111,negative
https://www.tiktok.com/@therealskiniminmd/video/7482090635835739438,#doctor #productreview #hairlossdoc #cerave,277,negative
https://www.tiktok.com/@dailyglambyshahad/video/7625022403818704158,"I had high hopes for this ...but it did NOTHING for my skin 😭 what toner do you recommend ??do you recommend
#honestreview #skincare #fyp",18,negative
https://www.tiktok.com/@tchaoskin/video/7559453084326300959,"Replying to @Tasha T a lot of the common cleansers I’ve tried unfortunately have been extremely underwhelming 🥲

i’m not getting the hype behind this Cerave foaming oil cleanser at all

*pr without oblig to post

#cerave #ceraveskincare #drugstoreskinscare #facecleanser #facialcleanser",5541,negative
https://www.tiktok.com/@lexallynn/video/7635035987206278430,This is going to be my new daily moisturizer. 👏🏻 This seriously has been exactly what I’ve been looking for!! @CeraVe #cerave #moisturizer #watergel #tiktokshopcreatorpicks,66,positive
https://www.tiktok.com/@manducheekz/video/7647112982488485141,"The older I get, the more I realize that squeaky clean isn’t the goal. Healthy, balanced skin is. 💙 A good cleanser really goes a long way.

#CleanseLikeADerm #CeraVePH #CeraVe",1279,positive
https://www.tiktok.com/@misspeytonsmith/video/7642208824077667604,CeraVe Hydrating Cleanser is SPF approved! Which cleanser should we try next?,4016,neutral
https://www.tiktok.com/@natsworld222/video/7492936925842656543,"I am very impressed @cerave I live a good hydrating washday! I enjoyed both the shampoo and conditioner 🤩

#ceraveshampoo #cerave #natsworld222 #natsworld #review #ceraveconditioner",184,positive
