video_url,video_description,like_count,sentiment,video_path,audio_path,raw_transcription,transcription,detected_language,transcription_status,transcription_error,language_probability,audio_duration_seconds,facial_expression,facial_expression_confidence,facial_expression_status,face_frames_analyzed,valid_windows,window_agreement,confidence_margin,facial_expression_model,facial_expression_error
https://www.tiktok.com/@aarinnola/video/7593777591492807958,"The CeraVe moisturizing lotion is my most purchased moisturizer. 4 years locked in and I'm not looking back anytime soon. I'm such a loyal babe. What is your most purchased moisturizer? Have you tried the skincare lotion moisturizer? CeraVe moisturizing lotion before

#skincare #lotion #moisturizer",31,positive,data\videos\video_001.mp4,data\audios\video_001.mp3,"And here's my most purchased moisturizer. I used to serve it moisturizer as an illusion. Many people use this for the upper level, I use it on my face, I use it for about 4 years now. It cost me about 19.99ft by from SuperDrix store, and I love that it's very much available and affordable. I think 49.99ft in 4 months, that's a very good buy for me. I have acne, slash sensitive skin, so everything triggers my skin, but this has helped me to keep that on that control. I would just believe that your cleansers are moisturizing illusions. She just becomes as an moisturizer, like they shouldn't contain active, and that's just what this is. It doesn't contain any active. The major ingredients in this are 3 essential ceremonies are already acid, and that would help you from your skin and hydrate your skin. At the last 4 years of me using it, this has become my most purchased moisturizer. Also, it staples in my skincare stash. I've used this before, I really love to know. What skincare product you should buy in this really saturated market. Please do give me a follow, I'll be posting all of my beauty finds.","And here's my most purchased moisturizer. I used to CeraVe moisturizer as an illusion. Many people use this for the upper level, I use it on my face, I use it for about 4 years now. It cost me about 19.99ft by from SuperDrix store, and I love that it's very much available and affordable. I think 49.99ft in 4 months, that's a very good buy for me. I have acne, slash sensitive skin, so everything triggers my skin, but this has helped me to keep that on that control. I would just believe that your cleansers are moisturizing illusions. She just becomes as an moisturizer, like they shouldn't contain active, and that's just what this is. It doesn't contain any active. The major ingredients in this are 3 essential ceramides are hyaluronic acid, and that would help you from your skin and hydrate your skin. At the last 4 years of me using it, this has become my most purchased moisturizer. Also, it staples in my skincare stash. I've used this before, I really love to know. What skincare product you should buy in this really saturated market. Please do give me a follow, I'll be posting all of my beauty finds.",en,success,,1.0,62.14,neutral,0.3599,uncertain,50,5,5/5,0.1896,ElenaRyumina/face_emotion_recognition,
https://www.tiktok.com/@rubysacne/video/7628636046015646989,Replying to @shelbie_banister17 my thoughts on the new Cerave mineralspf #mineralsunscreen # “Invisible” mineral sunscreen #cerave,1499,neutral,data\videos\video_002.mp4,data\audios\video_002.mp3,"Sarah V has one of the worst mineral sunscreens I've ever tried, but people say that their newest release is probably one of the best mineral sunscreens. So let's try it out. I haven't looked at the ingredients, but because this claims to be an invisible mineral sunscreen, I'm sure there has to be SPF boosters in this. And right off the bat, this is a lighter weight texture than I was expecting. It's dripping all over my hands. It's got a little messy, so I'm just going to put a few more pumps just to make sure I get proper coverage. As I blend this in, it feels kind of like an oily serum texture, and it doesn't have a strong scent, which I really appreciate because the one that I hate from them has the strongest scent ever. Here's what it looks like fully blended out, and I'm very shocked that there really is no white cast. However, my face feels very oily and very wet, so I'm going to let this settle for 15 minutes, and then I'll be back. It's been about 20 minutes, and here's how the skin is looking. And overall, it looks pretty good, but as you can probably tell, my skin still looks oily, and it definitely feels oily. I will be applying makeup today, so we're going to see how this does, and hopefully it doesn't pill, but I'll see you guys at the end of the day to give you my final thoughts. As you can clearly see this performed really well under makeup, however, I did have a little bit of pilling under my eyes before I applied the makeup, so I'm not sure what that was about. Also, it did eventually dry down and leave a satin-like finish, but it did still feel the slightest bit oily. Overall, I rate this like a 7.5 out of 10. It's really not a bad sunscreen, but it's a little too oily for my liking, and that pilling was a little weird. So you might have to be careful with what skin care you put under this. Anyways, let me know if you've tried this before, and let me know what I should try next.","CeraVe has one of the worst mineral sunscreens I've ever tried, but people say that their newest release is probably one of the best mineral sunscreens. So let's try it out. I haven't looked at the ingredients, but because this claims to be an invisible mineral sunscreen, I'm sure there has to be SPF boosters in this. And right off the bat, this is a lighter weight texture than I was expecting. It's dripping all over my hands. It's got a little messy, so I'm just going to put a few more pumps just to make sure I get proper coverage. As I blend this in, it feels kind of like an oily serum texture, and it doesn't have a strong scent, which I really appreciate because the one that I hate from them has the strongest scent ever. Here's what it looks like fully blended out, and I'm very shocked that there really is no white cast. However, my face feels very oily and very wet, so I'm going to let this settle for 15 minutes, and then I'll be back. It's been about 20 minutes, and here's how the skin is looking. And overall, it looks pretty good, but as you can probably tell, my skin still looks oily, and it definitely feels oily. I will be applying makeup today, so we're going to see how this does, and hopefully it doesn't pill, but I'll see you guys at the end of the day to give you my final thoughts. As you can clearly see this performed really well under makeup, however, I did have a little bit of pilling under my eyes before I applied the makeup, so I'm not sure what that was about. Also, it did eventually dry down and leave a satin-like finish, but it did still feel the slightest bit oily. Overall, I rate this like a 7.5 out of 10. It's really not a bad sunscreen, but it's a little too oily for my liking, and that pilling was a little weird. So you might have to be careful with what skincare you put under this. Anyways, let me know if you've tried this before, and let me know what I should try next.",en,success,,1.0,103.84,neutral,0.3289,uncertain,50,5,4/5,0.1425,ElenaRyumina/face_emotion_recognition,
https://www.tiktok.com/@thementorg1/video/7631321178551897357,"Is CeraVe ruining your skin? 🧴👎 Most men are blindly using this product without understanding what it’s actually doing to their face. In this video, I break down why it might be time to leave CeraVe behind — and what to use instead if you want real results.Whether you’re struggling with dry skin, breakouts, or dull texture — this is your wake-up call. Tap in and upgrade your skincare routine. 📍For more self-care, skincare, and CeraVe #SkincareForMen# .cologne game for men, follow thementorg# SelfCareForMen# GroomingTips# StopUsingThis# MenSkinCare# MenGlowUp# MensRoutine# FaceCare# TheMentorg# SkincareMistakes# SkincareTruth# ClearSkinJourney# FragranceAndFace# MensLifestyle# HealthySkinTips#",34,negative,data\videos\video_003.mp4,data\audios\video_003.mp3,"You have been doing skincare all wrong and I'm about to tell you why first off Do not use this This can really be bad for your skin and I'm just running out and it might be for the people You use this wonder why your skin gets all pealy itchy flaky or anything like that. We're bumpy. My started to get like that I noticed once I stopped using that I Didn't get any more blemishes or anything like that So this might be issue. I don't know if it's a allergic reaction some people might have but I noticed other people want to take that saying that too So stop using CRB, I'm just saying this really right here is Really could be messing up your skin and just letting you know This could be the reason why you have that acne those itchy patches or anything like that because that's what I was getting","You have been doing skincare all wrong and I'm about to tell you why first off Do not use this This can really be bad for your skin and I'm just running out and it might be for the people You use this wonder why your skin gets all pealy itchy flaky or anything like that. We're bumpy. My started to get like that I noticed once I stopped using that I Didn't get any more blemishes or anything like that So this might be issue. I don't know if it's a allergic reaction some people might have but I noticed other people want to take that saying that too So stop using CeraVe, I'm just saying this really right here is Really could be messing up your skin and just letting you know This could be the reason why you have that acne those itchy patches or anything like that because that's what I was getting",en,success,,1.0,45.84,neutral,0.1682,uncertain,50,5,3/5,-0.0106,ElenaRyumina/face_emotion_recognition,
https://www.tiktok.com/@adamrobertlamb/video/7437790256453225761,"Rating Popular CeraVe Cleansers from BEST to WORST!
#skincare101 #ceraveskincare #cerave #affordableskincare #skincaretips #skincaretiktok",164,neutral,data\videos\video_004.mp4,data\audios\video_004.mp3,"From rating popular survey cleansers from best to worse. The essays moving cleanser also known as the SA renewing cleanser is great for people who are breakout prone to have enlarged pores and texture as it contains salicylic acid. It lavas up really nicely and I have combination skin and this didn't dry my skin out. Definitely a 5 out of 5. The hydrating cleanser is so good for skin that's dry and sensitive especially if you've overused your active and your skin needs a little bit of TLC. It's great for morning cleanser and it's creamy, nourishing and effective definitely a 5 out of 5 for me. The filming cleanser is great for oily combination to normal skin types that enjoy that nice bubbly lava on the skin. I enjoy it a lot and it has your typical ingredients like nice cine'mard handle, casted and survey staple surmard formulation, a 4 out of 5 for me. The blemish control cleanser is very similar to the SA cleanser but nice in a mind is higher on the ingredients list. Great for oily skin types due to the oily absorbing technology is good but personally I would pick the SA cleanser over this one, a 3 out of 5 for me. The hydrating cream to foam cleanser is nourishing and creamy but it lavas up well and is stated to remove makeup and SPF. It does have a amino acid so it will help with hydration. I have enjoyed this but I do prefer a separate bonk cleanser in the evening, a 3 out of 5 for me.","From rating popular CeraVe cleansers from best to worse. The essays moving cleanser also known as the SA renewing cleanser is great for people who are breakout prone to have enlarged pores and texture as it contains salicylic acid. It lavas up really nicely and I have combination skin and this didn't dry my skin out. Definitely a 5 out of 5. The hydrating cleanser is so good for skin that's dry and sensitive especially if you've overused your active and your skin needs a little bit of TLC. It's great for morning cleanser and it's creamy, nourishing and effective definitely a 5 out of 5 for me. The filming cleanser is great for oily combination to normal skin types that enjoy that nice bubbly lava on the skin. I enjoy it a lot and it has your typical ingredients like nice cine'mard handle, casted and CeraVe staple surmard formulation, a 4 out of 5 for me. The blemish control cleanser is very similar to the SA cleanser but nice in a mind is higher on the ingredients list. Great for oily skin types due to the oily absorbing technology is good but personally I would pick the SA cleanser over this one, a 3 out of 5 for me. The hydrating cream to foam cleanser is nourishing and creamy but it lavas up well and is stated to remove makeup and SPF. It does have a amino acid so it will help with hydration. I have enjoyed this but I do prefer a separate bonk cleanser in the evening, a 3 out of 5 for me.",en,success,,1.0,65.16,no_face,0.0,no_face,0,0,0/0,0.0,ElenaRyumina/face_emotion_recognition,
https://www.tiktok.com/@natalie_oneillll/video/7324377521313582368,"I’ve said goodbye to ever working with Cerave many times, what’s another one? These are 4 acne products that I personally think often make acne a lot worse. Sometimes the product is poor, other times its the way it’s used incorrectly (usually shown on social media this way). This is a video for the edge cases, I’m sure many people also love these #badskincarehabits #worstskincareadvice #worstskincareproducts #skincaresmashorpass #viralskincare #overratedskincare",72100,negative,data\videos\video_005.mp4,data\audios\video_005.mp3,"It's time to roast some of the worst skincare products that are designed to make your skin look better, but I personally think make acne 100 transverse. Or even better, give you acne when you had number four, love that. Number one, the most overrated cleanser, the cerevy renewing salsa, like acid cleanser. Salicylic acid is a well-known anti acne and texture smoothing ingredient, but I think where people go wrong with this is they use it morning and night because most people just want to buy one cleanser, get it. I get it, but have you considered that if you use this morning and night, you're exfoliating twice a day, aka 14 times a week. That is why I think this ends up making people's skin look way worse. Even if it gets rid of their acne, is your skin still red, dry, dull? Are you trying to find products that make it look better? Might be why. In at number two, dermatologists recommend cerevy again all the time. Their moisturizers and their sunscreens, in my opinion, are the cause of a lot of people's acne. Certainly for a lot of people, they're just making it worse, giving you more breakouts than you really needed to have. They have this reputation of being flawless, perfect for acne-prone skin, but in reality, I think a lot of the formulas are actually quite bad for acne-prone skin. Very strange, and have you noticed since they got popular, the price is just keeping creasing. Love that. In at number three, we've got the ordinary's peeling solution. If I was creating a starter kit for chemical burns, I'd put this one in there. Or if you've got some crusty skin on your feet, this would be great for that, because it's industrial strength. This might exfoliate your skin to the high heavens, but is that actually what you want? Would you rather a gentler exfoliant, which makes your skin look glowy rather than zapping all the life out there? My case is closed. And lastly, sicker plus, everyone loves her, so I'm not going to rip her too hard. Not great for acne-prone skin, not actually meant to be used as a moisturizer all over the face. It's actually not her fault.","It's time to roast some of the worst skincare products that are designed to make your skin look better, but I personally think make acne 100 transverse. Or even better, give you acne when you had number four, love that. Number one, the most overrated cleanser, the cerevy renewing salsa, like acid cleanser. Salicylic acid is a well-known anti acne and texture smoothing ingredient, but I think where people go wrong with this is they use it morning and night because most people just want to buy one cleanser, get it. I get it, but have you considered that if you use this morning and night, you're exfoliating twice a day, aka 14 times a week. That is why I think this ends up making people's skin look way worse. Even if it gets rid of their acne, is your skin still red, dry, dull? Are you trying to find products that make it look better? Might be why. In at number two, dermatologists recommend cerevy again all the time. Their moisturizers and their sunscreens, in my opinion, are the cause of a lot of people's acne. Certainly for a lot of people, they're just making it worse, giving you more breakouts than you really needed to have. They have this reputation of being flawless, perfect for acne-prone skin, but in reality, I think a lot of the formulas are actually quite bad for acne-prone skin. Very strange, and have you noticed since they got popular, the price is just keeping creasing. Love that. In at number three, we've got the ordinary's peeling solution. If I was creating a starter kit for chemical burns, I'd put this one in there. Or if you've got some crusty skin on your feet, this would be great for that, because it's industrial strength. This might exfoliate your skin to the high heavens, but is that actually what you want? Would you rather a gentler exfoliant, which makes your skin look glowy rather than zapping all the life out there? My case is closed. And lastly, sicker plus, everyone loves her, so I'm not going to rip her too hard. Not great for acne-prone skin, not actually meant to be used as a moisturizer all over the face. It's actually not her fault.",en,success,,1.0,90.42,neutral,0.2429,uncertain,50,5,3/5,0.0063,ElenaRyumina/face_emotion_recognition,
https://www.tiktok.com/@xomissvi/video/7661419405603065102,"I had my tinted SPF on for about a little over 8 hours so it was time to remove once I got home from work. I wasn't impressed by this makeup melter. It claimed to be able to remove waterproof and stubborn makeup but it did not. I'd had other amazing makeup remover products that does the job super quickly with little effort. This one I'll rate a 6/10 😳

#makeup #fyp #skin #ceravepartner #cerave",7,neutral,data\videos\video_006.mp4,data\audios\video_006.mp3,"I just got home for more and I posted that I tried the noose therapy Sure tinted as Pia and I am wanted to remove it now. This is how long it stayed on a super Dooley and glowy so if you're dry skin, I feel like you're gonna like this sunscreen. I did post about it in the previous videos. You might have to go there to grab it, but today I'm trying another new product from the survey. It is their cream-to-water makeup filter for normal to sensitive skin. It says transformative textured double cleanse by removing stubborn waterproof makeup and it has three sensor ceramics and squealing double cleansing efficiency. So let's see how it removes my makeup. Let's see if it actually cleans everything even with my waterproof stuff with this cleanser. It does feel super lightweight. It doesn't feel like a traditional like oil texture, but looks a little bit weird. I'm gonna rate this a 6 out of 10. I'm not really well by it by it. I didn't really even move my makeup really good. Look it has a rubber eye like this to remove my mascara and I hate having to rub my eyes because I don't want to find things in my clothes and the case is still there. My other cleansing problem usually takes it off in one wipe so I'm not really impressed by this. I'll then give me a good in the case you guys want to try it too, but it's one of their new products.","I just got home for more and I posted that I tried the noose therapy Sure tinted as Pia and I am wanted to remove it now. This is how long it stayed on a super Dooley and glowy so if you're dry skin, I feel like you're gonna like this sunscreen. I did post about it in the previous videos. You might have to go there to grab it, but today I'm trying another new product from the CeraVe. It is their cream-to-water makeup filter for normal to sensitive skin. It says transformative textured double cleanse by removing stubborn waterproof makeup and it has three sensor ceramides and squealing double cleansing efficiency. So let's see how it removes my makeup. Let's see if it actually cleans everything even with my waterproof stuff with this cleanser. It does feel super lightweight. It doesn't feel like a traditional like oil texture, but looks a little bit weird. I'm gonna rate this a 6 out of 10. I'm not really well by it by it. I didn't really even move my makeup really good. Look it has a rubber eye like this to remove my mascara and I hate having to rub my eyes because I don't want to find things in my clothes and the case is still there. My other cleansing problem usually takes it off in one wipe so I'm not really impressed by this. I'll then give me a good in the case you guys want to try it too, but it's one of their new products.",en,success,,1.0,95.81,neutral,0.3499,uncertain,50,5,4/5,0.1351,ElenaRyumina/face_emotion_recognition,
https://www.tiktok.com/@prince_kkyy/video/7559045491355389214,RETURNED THAT LOTION REAL QUICK TODAY! 🤢🤢🤢🤢 #cerave #skincare,111,negative,data\videos\video_007.mp4,data\audios\video_007.mp3,"Every single other survey product I have tried has let me down. This one has let me down. So, the daily moisturizing motion is so much better. This one is greasy and has an unpleasant smell and I'm kind of itchy. Also, it's just not a good experience overall. I have been buying this one a lot as you can see. It's just the best one in my opinion and I've tried other survey stuff like some other facewashes they have. I did not have a good time.","Every single other CeraVe product I have tried has let me down. This one has let me down. So, the daily moisturizing motion is so much better. This one is greasy and has an unpleasant smell and I'm kind of itchy. Also, it's just not a good experience overall. I have been buying this one a lot as you can see. It's just the best one in my opinion and I've tried other CeraVe stuff like some other facewashes they have. I did not have a good time.",en,success,,1.0,20.71,neutral,0.3139,uncertain,40,4,3/4,0.1294,ElenaRyumina/face_emotion_recognition,
https://www.tiktok.com/@therealskiniminmd/video/7482090635835739438,#doctor #productreview #hairlossdoc #cerave,277,negative,data\videos\video_008.mp4,data\audios\video_008.mp3,"Hi everyone, Dr. A. Douglas here. I'm a board certified dermatologist and hair loss expert and today I'll be reviewing these two products, the survey, anti-jange of hydrogen shampoo and conditioner. And I use that for my very, very flaky scalp. And unfortunately for me, these products did not work. My scalp was flaky within the next day of using these products. However, I do have more of a severe condition. So these are not products that I would recommend for people with a more severe condition. This is something you can maybe consider if you have mild, some moderate condition. Let me know in the comments what you use for your flaky scalp and what works and continue to follow me for more tips on hair, hair, hair and hair loss.","Hi everyone, Dr. A. Douglas here. I'm a board certified dermatologist and hair loss expert and today I'll be reviewing these two products, the CeraVe, anti-jange of hydrogen shampoo and conditioner. And I use that for my very, very flaky scalp. And unfortunately for me, these products did not work. My scalp was flaky within the next day of using these products. However, I do have more of a severe condition. So these are not products that I would recommend for people with a more severe condition. This is something you can maybe consider if you have mild, some moderate condition. Let me know in the comments what you use for your flaky scalp and what works and continue to follow me for more tips on hair, hair, hair and hair loss.",en,success,,1.0,37.52,happiness,0.2929,uncertain,50,5,2/5,0.0931,ElenaRyumina/face_emotion_recognition,
https://www.tiktok.com/@dailyglambyshahad/video/7625022403818704158,"I had high hopes for this ...but it did NOTHING for my skin 😭 what toner do you recommend ??do you recommend
#honestreview #skincare #fyp",18,negative,data\videos\video_009.mp4,data\audios\video_009.mp3,"The worst owner I've ever used had so much expectation since I always use Sarah V And it always worked for me, but ever since I use the toner it doesn't work at all It give me acne and breakouts and dry skin as well. Honestly, I would invite this again I want to know would you guys use for toner and if you can give me a recommendation in the comment I would really appreciate it","The worst owner I've ever used had so much expectation since I always use CeraVe And it always worked for me, but ever since I use the toner it doesn't work at all It give me acne and breakouts and dry skin as well. Honestly, I would invite this again I want to know would you guys use for toner and if you can give me a recommendation in the comment I would really appreciate it",en,success,,1.0,20.29,neutral,0.3226,uncertain,50,5,3/5,0.0784,ElenaRyumina/face_emotion_recognition,
https://www.tiktok.com/@tchaoskin/video/7559453084326300959,"Replying to @Tasha T a lot of the common cleansers I’ve tried unfortunately have been extremely underwhelming 🥲

i’m not getting the hype behind this Cerave foaming oil cleanser at all

*pr without oblig to post

#cerave #ceraveskincare #drugstoreskinscare #facecleanser #facialcleanser",5541,negative,data\videos\video_010.mp4,data\audios\video_010.mp3,"I'm just going to be honest, a lot of the drugstore cleansers that you guys use are not that great. This therapy filming oil cleanser was on my wish list for the longest time because I heard so many great things about it. Very surprising to me when I realized that this cleanser was very dry. And the fact that it's actually marketed for dry to very dry skin. I also really dislike the fact that it is marketed as a filming oil cleanser when it's really not an oil cleanser. Water is the first ingredient and it lathers. And those are two indications that it's not a true oil cleanser. It also triggered my fungal acne, which is absolutely possible with wash off products like this. Ever since I tried the prequel cleanser, a lot of the drugstore cleansers will never compare to this because this is affordable. It's gentle. It's not stripping and it happens to feel hydrating as well. Sensitive skin friendly can work for a lot of different skin types and it doesn't trigger my fungal acne. I am trying to test other options for you guys because I know not everyone can access this one, but truthfully, I just haven't found that many good options.","I'm just going to be honest, a lot of the drugstore cleansers that you guys use are not that great. This therapy filming oil cleanser was on my wish list for the longest time because I heard so many great things about it. Very surprising to me when I realized that this cleanser was very dry. And the fact that it's actually marketed for dry to very dry skin. I also really dislike the fact that it is marketed as a filming oil cleanser when it's really not an oil cleanser. Water is the first ingredient and it lathers. And those are two indications that it's not a true oil cleanser. It also triggered my fungal acne, which is absolutely possible with wash off products like this. Ever since I tried the prequel cleanser, a lot of the drugstore cleansers will never compare to this because this is affordable. It's gentle. It's not stripping and it happens to feel hydrating as well. Sensitive skin friendly can work for a lot of different skin types and it doesn't trigger my fungal acne. I am trying to test other options for you guys because I know not everyone can access this one, but truthfully, I just haven't found that many good options.",en,success,,1.0,51.27,neutral,0.5053,uncertain,50,5,5/5,0.3629,ElenaRyumina/face_emotion_recognition,
