review_id,video_url,transcription,sentiment,llm_sentiment,final_facial_expression,facial_reliability,possible_error_reason,error_category
2,https://www.tiktok.com/@rubysacne/video/7628636046015646989,"CeraVe has one of the worst mineral sunscreens I've ever tried, but people say that their newest release is probably one of the best mineral sunscreens. So let's try it out. I haven't looked at the ingredients, but because this claims to be an invisible mineral sunscreen, I'm sure there has to be SPF boosters in this. And right off the bat, this is a lighter weight texture than I was expecting. It's dripping all over my hands. It's got a little messy, so I'm just going to put a few more pumps just to make sure I get proper coverage. As I blend this in, it feels kind of like an oily serum texture, and it doesn't have a strong scent, which I really appreciate because the one that I hate from them has the strongest scent ever. Here's what it looks like fully blended out, and I'm very shocked that there really is no white cast. However, my face feels very oily and very wet, so I'm going to let this settle for 15 minutes, and then I'll be back. It's been about 20 minutes, and here's how the skin is looking. And overall, it looks pretty good, but as you can probably tell, my skin still looks oily, and it definitely feels oily. I will be applying makeup today, so we're going to see how this does, and hopefully it doesn't pill, but I'll see you guys at the end of the day to give you my final thoughts. As you can clearly see this performed really well under makeup, however, I did have a little bit of pilling under my eyes before I applied the makeup, so I'm not sure what that was about. Also, it did eventually dry down and leave a satin-like finish, but it did still feel the slightest bit oily. Overall, I rate this like a 7.5 out of 10. It's really not a bad sunscreen, but it's a little too oily for my liking, and that pilling was a little weird. So you might have to be careful with what skincare you put under this. Anyways, let me know if you've tried this before, and let me know what I should try next.",neutral,negative,neutral,low,Mixed single-product review with strong negative cues,mixed_single_product
4,https://www.tiktok.com/@adamrobertlamb/video/7437790256453225761,"From rating popular CeraVe cleansers from best to worse. The essays moving cleanser also known as the SA renewing cleanser is great for people who are breakout prone to have enlarged pores and texture as it contains salicylic acid. It lavas up really nicely and I have combination skin and this didn't dry my skin out. Definitely a 5 out of 5. The hydrating cleanser is so good for skin that's dry and sensitive especially if you've overused your active and your skin needs a little bit of TLC. It's great for morning cleanser and it's creamy, nourishing and effective definitely a 5 out of 5 for me. The filming cleanser is great for oily combination to normal skin types that enjoy that nice bubbly lava on the skin. I enjoy it a lot and it has your typical ingredients like nice cine'mard handle, casted and CeraVe staple surmard formulation, a 4 out of 5 for me. The blemish control cleanser is very similar to the SA cleanser but nice in a mind is higher on the ingredients list. Great for oily skin types due to the oily absorbing technology is good but personally I would pick the SA cleanser over this one, a 3 out of 5 for me. The hydrating cream to foam cleanser is nourishing and creamy but it lavas up well and is stated to remove makeup and SPF. It does have a amino acid so it will help with hydration. I have enjoyed this but I do prefer a separate bonk cleanser in the evening, a 3 out of 5 for me.",neutral,positive,no_visible_face,not_applicable,Multi-product comparison with predominantly positive ratings,multi_product_or_comparative
6,https://www.tiktok.com/@xomissvi/video/7661419405603065102,"I just got home for more and I posted that I tried the noose therapy Sure tinted as Pia and I am wanted to remove it now. This is how long it stayed on a super Dooley and glowy so if you're dry skin, I feel like you're gonna like this sunscreen. I did post about it in the previous videos. You might have to go there to grab it, but today I'm trying another new product from the CeraVe. It is their cream-to-water makeup filter for normal to sensitive skin. It says transformative textured double cleanse by removing stubborn waterproof makeup and it has three sensor ceramides and squealing double cleansing efficiency. So let's see how it removes my makeup. Let's see if it actually cleans everything even with my waterproof stuff with this cleanser. It does feel super lightweight. It doesn't feel like a traditional like oil texture, but looks a little bit weird. I'm gonna rate this a 6 out of 10. I'm not really well by it by it. I didn't really even move my makeup really good. Look it has a rubber eye like this to remove my mascara and I hate having to rub my eyes because I don't want to find things in my clothes and the case is still there. My other cleansing problem usually takes it off in one wipe so I'm not really impressed by this. I'll then give me a good in the case you guys want to try it too, but it's one of their new products.",neutral,negative,sadness,medium,Mixed single-product review with strong negative wording,mixed_single_product
12,https://www.tiktok.com/@manducheekz/video/7647112982488485141,"Once Nana Lanazani, Malala Nang break out, never ever gonna muddle to look nahindi in the the client's no face. But you can sleep at this, knowing the way the kambaka break up to let kabakindi kapakilamos. It's been a long day so now let's cleanse our face. My makeup is not removed so next step, cleanser. One thing I learned is that patindi harsh and cleanser more. Proven and tested kuna that gentle cleansers work so much better for skin types like ours. My cleanser is the serovae foamy cleanser. If your skin is more under off or bump beside, they also have the salicylic acid smoothing cleanser. I like my own serovae cleansers, uses MVE technology. Plus, it has 3 essential serovides. So while I'm feeling the after mama kala must burn up nabana tung face more. I'll hold normal, long and tight feelings of face after makilamos. Don't gonna realize that that patindi palas squeaky cleaning feeling after makilamos. Cause you guys, if your skin quicks, your barrier is weak. Sometimes less harsh means better skin talaga. So if you are acne prone, oily to combination skin like me, maybe it's time to cleanse like a derm with serovae.",positive,negative,fear,low,Transcription quality issue due to multilingual or unclear speech,transcription_quality
13,https://www.tiktok.com/@misspeytonsmith/video/7642208824077667604,"Everyone wants to know whether the Saravi hydrating cleanser can actually remove SPF on the skin. Well, I've got my UV light on that can show the UV filters that are on my skin. I have a feeling this will do a pretty good job. We'll start off with two generous pumps. Rub it into our hands, the massage it onto the skin. Kind of in the UV light, actually, how it's already starting to break up that UV filters on the skin. Okay, that is going to be my first cleanse. I'm going to rinse my face in the sink, come back, we'll see how much of the UV filter that actually came off the skin. Wow, okay, that actually did a really good job. It's almost pretty much all off my skin. Then I'll do literally one more cleanse. This will literally be all off. That's crazy. I knew what was going to come up, but I didn't think like on the first cleanse, the majority of it kind of came off. That was actually quite surprising to me. Now, I'll do my last rinse and my skin will be removed of all the SPF. I think it's safe to say this effectively cleans off SPF off my skin.",neutral,positive,neutral,low,Possible manual-label ambiguity due to strongly positive outcome,possible_label_ambiguity
20,https://www.tiktok.com/@raheem_reviews_/video/7638993312304631062,"This is Sarah B's brand new invisible hydrating sunscreen for your face and your body and it's on Sarah and I on TikTok shop. It has no white casting residue and just look at that, it instantly sinks into your skin. This one definitely freshens up your skin and just look at that below that you get afterwards. Even though three essential seramels help repair your skin barrier as well. You want to guide it for yourself? I will leave links down below in the orange basket on the left for you.",positive,neutral,surprise,low,Implicit positive sentiment with limited explicit opinion,implicit_or_descriptive_sentiment
21,https://www.tiktok.com/@keti.p7/video/7658404622410796321,"I cleanse my face with the syrup of foam and cleanser to wash away dirt, oil, and everything my skin is picked up throughout the day. Then I gently pat my face dry with a clean paper towel. Next, I apply the Sarajam moisturizing cream to deeply hydrate my skin and help support my skin barrier overnight. A simple routine that leaves my skin feeling clean, soft, and hydrated.",positive,neutral,neutral,high,Implicit positive sentiment with neutral facial cue,implicit_or_descriptive_sentiment
24,https://www.tiktok.com/@natalie_oneillll/video/7472781932615601410,"Rating every single one of the Saravi cleansers, which ones to get and which ones to avoid. I think out of all the Saravi cleansers, this cream to foam wine is my favourite. It's super gentle, it feels really nice to use. It's foaming but it's not too drying. 8 out of 10. I feel like the foaming cleanser is still good but I don't feel like it's as good as the cream to foam and I'm not sure why you'd buy this when you could buy that. It's nice but it's a little bit more drying than the cream to foam so I'd still get that one. This doesn't absolutely nothing for me and in fact it stings my skin which is really bizarre. I remember when I got this and I was so excited to try it and then I was so disappointed after the first use. I wasn't clean makeup off very well, barely even clean the skin without makeup on it so 4 out of 10, 7 out of 10. I'd give this one an 8 out of 10 as well. It's not a true oil cleanser so I would use an oil cleanser before it but it's not drying and it feels quite nice to use. And we've got the two exfoliating ones, the blemish control and the salicylic smoothing. Now I know everyone's going to say oh you don't like this one and don't get me wrong. I don't like this one but if you use it sparingly like a treatment it can be effective. I just think there are better cleansers out there and considering this one and that one aren't really that different. I would always pick this one because they're nice and mild and I find it a little bit more moisturizing than that one which can be quite drying. 6 out of 10, 7 out of 10. And if you like this kind of no bullshit to the point skincare advice then you found the right place because it's all I make.",neutral,negative,sadness,low,Multi-product comparison with strong negative cues,multi_product_or_comparative
27,https://www.tiktok.com/@rubeslanamay/video/7453093370823494945,"best and worst of Cerave. The cream to foam cleanser is a yay. This is actually really good for my acne prone girly. This, I feel like so many people have mentioned how badly this breaks people out. I feel like people have got this assumption that Cerave is always acne safe and going to be okay for your skin. This breaks people out like no man's business. So I would avoid if you have acne prone skin like myself. Along with this one which I feel like loads of people are not going to like. This just doesn't clean your skin well enough. Finally my gorgeous girly is personally. I don't oil cleanse because it never works for my skin and it always breaks me out. But if you do want an affordable drugstore oil cleanser, the Cerave one is a great option.",neutral,negative,happiness,low,Multi-product comparison with mixed positive and negative opinions,multi_product_or_comparative
40,https://www.tiktok.com/@chinnyama/video/7450722954503032106,"I want you guys to know the difference between the CeraVe hydrates in facial cleanser and the CeraVe cream to foam cleanser. The hydrates in facial cleanser is for those with sensitive skin and for those with dry skin. If you look at it, you see more strawberries. Why the cream to foam cleanser is for those that wear makeup? Because when you use it, you don't have to double cleanse. But even though they are both for normal to dry skin and they are both hydrates in, I want you to know that if you use a cleanse that has foam, that foam has the tendency to dry as moisture from your skin. So if you have to choose between the put of them, I have a very dry skin. Go for the hydrates in facial cleanser.",neutral,negative,neutral,low,Comparative informational content with conditional recommendation,multi_product_or_comparative
