video_url,video_description,like_count,sentiment
https://www.tiktok.com/@lirjeta.xh/video/7662206879472438536,,,
https://www.tiktok.com/@oliviarhyin/video/7537456648680525086,My favorite face wash 🫧#facewash #skincareroutine #skincare #creatorsearchinsights #cerave #fyp @CeraVe,99,
https://www.tiktok.com/@dr_ingky/video/7606272059919928583,,,
https://www.tiktok.com/@arabella_swan/video/7662812735909940510,This product is amazing it has helped me so much with my Blemishes and helped me with not picking at them! Overall a 10/10 product definitely recommend! #complimentary #GiftedByCeraVePatches #CeraVeBlemishControl @CeraVe @influenster,7,
https://www.tiktok.com/@brookemonk_/video/7531870133086670111,Don’t worry about Sam the new CeraVe Air Foam Cleanser is perfect for his combination skin! He’s happy to be covered in it 🤭 #CeraVePartner,204500,
https://www.tiktok.com/@lordkierra/video/7585784888108797239,,,
https://www.tiktok.com/@ceraveuki/video/7611527767657647382,,,
https://www.tiktok.com/@operation_niki/video/7662173851547143437,"#CeraVePartner The only squeak I want in my morning routine is my clean mirror. 🤍 The @CeraVe Foaming Facial Cleanser leaves my skin feeling clean, fresh, and balanced…never squeaky or stripped. It's been the perfect way to start my mornings. ✨ #MorningRoutine #Skincare #SkincareRoutine",8982,
https://www.tiktok.com/@mushumajed/video/7638985887405198612,"Two moisturizers, different formulas, both incredible for your skin #CeraVeArabia #CeraVePartner @CeraVe Arabia ad",5264,
https://www.tiktok.com/@rubysacne/video/7489182749685812526,👻 #acne #mineralsunscreen #review #sunscreen #cerave cerave hydrating mineral sunscreen spf 50,5831,
https://www.tiktok.com/@catduqbeauty/video/7619514603944348941,Love cerave but this is a miss for me #beauty #skincare #cleansingbalm #cerave,24,
https://www.tiktok.com/@user2767845063268/video/7536126293537049887,,,
https://www.tiktok.com/@julianyouhana/video/7652883515675004190,,,
https://www.tiktok.com/@karajanebeauty/video/7606203334084644110,"My esthetician educator just put me on a new moisturizer, I’ll let yall know how it’s working in a few weeks! #skincare #acnetreatment #skinhealing #skinbarrierrepair #esthetician",189,
https://www.tiktok.com/@nealkshah/video/7647985851804192013,"A chemical linked to leukemia has been found in a skincare product CeraVe that's sitting in millions of bathrooms right now. An independent laboratory found benzene, a chemical directly linked to leukemia and blood cancers, in popular acne products at levels reportedly more than 100 times the federal safety limit. Six class action lawsuits were filed almost immediately against the parent company behind some of the most trusted skincare brands in America. The FDA ran their own tests in 2025 and pulled six specific products from shelves. The lawsuits are still active and no verdict has been reached. But here is what nobody is highlighting. The breakdown of this ingredient into a known carcinogen has not been disputed by anyone. Not the FDA. Not the companies being sued. The only argument is about how much and under what conditions. The American Cancer Society states there is no safe level of benzene exposure. If you are caring for someone elderly, immunocompromised, or a child, check your bathroom cabinet today. Cross reference any acne products containing benzoyl peroxide against the current FDA recall list before using them again. Caution costs you nothing.",568300,
https://www.tiktok.com/@parisglow4/video/7649394647239888135,#ceraveskincare,328600,
