video_path,audio_present,speech_present,audio_duration_seconds,speech_duration_seconds,speech_ratio,max_speech_probability,vad_status,vad_model
data\videos\video_001.mp4,yes,yes,62.14,58.21,0.9368,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_002.mp4,yes,yes,103.84,101.7,0.9794,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_003.mp4,yes,yes,45.84,32.45,0.7079,0.9992,success,deepghs/silero-vad-onnx
data\videos\video_004.mp4,yes,yes,65.16,63.04,0.9675,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_005.mp4,yes,yes,90.42,89.12,0.9856,1.0,success,deepghs/silero-vad-onnx
data\videos\video_006.mp4,yes,yes,95.81,72.19,0.7535,0.9997,success,deepghs/silero-vad-onnx
data\videos\video_007.mp4,yes,yes,20.71,19.24,0.9289,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_008.mp4,yes,yes,37.52,34.59,0.9219,0.9998,success,deepghs/silero-vad-onnx
data\videos\video_009.mp4,yes,yes,20.29,18.69,0.9212,1.0,success,deepghs/silero-vad-onnx
data\videos\video_010.mp4,yes,yes,51.27,51.04,0.9955,1.0,success,deepghs/silero-vad-onnx
data\videos\video_011.mp4,yes,yes,42.12,41.12,0.9762,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_012.mp4,yes,yes,57.86,52.1,0.9003,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_013.mp4,yes,yes,69.06,62.21,0.9008,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_014.mp4,yes,yes,43.47,40.68,0.936,1.0,success,deepghs/silero-vad-onnx
data\videos\video_015.mp4,yes,yes,44.26,39.74,0.898,0.9997,success,deepghs/silero-vad-onnx
data\videos\video_016.mp4,yes,yes,62.32,45.09,0.7235,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_017.mp4,yes,yes,35.43,32.93,0.9293,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_018.mp4,yes,yes,59.35,52.1,0.8778,0.9996,success,deepghs/silero-vad-onnx
data\videos\video_019.mp4,yes,yes,56.89,51.55,0.9062,0.9982,success,deepghs/silero-vad-onnx
data\videos\video_020.mp4,yes,yes,21.5,21.34,0.9926,1.0,success,deepghs/silero-vad-onnx
data\videos\video_021.mp4,yes,yes,30.65,17.31,0.5648,0.9968,success,deepghs/silero-vad-onnx
data\videos\video_022.mp4,yes,yes,40.77,34.78,0.8531,0.9995,success,deepghs/silero-vad-onnx
data\videos\video_023.mp4,yes,yes,57.12,46.88,0.8207,0.9997,success,deepghs/silero-vad-onnx
data\videos\video_024.mp4,yes,yes,66.83,66.67,0.9976,1.0,success,deepghs/silero-vad-onnx
data\videos\video_025.mp4,yes,yes,21.18,19.81,0.9354,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_026.mp4,yes,yes,33.67,32.0,0.9504,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_027.mp4,yes,yes,39.2,37.66,0.9608,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_028.mp4,yes,yes,75.23,64.38,0.8558,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_029.mp4,yes,yes,123.39,110.94,0.8991,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_030.mp4,yes,yes,49.88,44.1,0.8841,0.9997,success,deepghs/silero-vad-onnx
data\videos\video_031.mp4,yes,yes,73.7,31.33,0.4251,0.9997,success,deepghs/silero-vad-onnx
data\videos\video_032.mp4,yes,yes,112.99,100.77,0.8918,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_033.mp4,yes,yes,108.2,95.26,0.8804,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_034.mp4,yes,yes,65.67,62.37,0.9498,1.0,success,deepghs/silero-vad-onnx
data\videos\video_035.mp4,yes,yes,51.64,46.18,0.8942,0.9994,success,deepghs/silero-vad-onnx
data\videos\video_036.mp4,yes,yes,68.59,65.98,0.962,0.9997,success,deepghs/silero-vad-onnx
data\videos\video_037.mp4,yes,yes,12.4,4.96,0.4,0.9948,success,deepghs/silero-vad-onnx
data\videos\video_038.mp4,yes,yes,55.36,50.66,0.9151,0.9998,success,deepghs/silero-vad-onnx
data\videos\video_039.mp4,yes,yes,92.65,27.68,0.2988,0.9991,success,deepghs/silero-vad-onnx
data\videos\video_040.mp4,yes,yes,44.44,37.28,0.8388,1.0,success,deepghs/silero-vad-onnx
data\videos\video_041.mp4,yes,yes,13.19,12.1,0.9171,0.9995,success,deepghs/silero-vad-onnx
data\videos\video_042.mp4,yes,yes,58.33,53.25,0.9129,0.9998,success,deepghs/silero-vad-onnx
data\videos\video_043.mp4,yes,yes,56.05,47.94,0.8552,1.0,success,deepghs/silero-vad-onnx
data\videos\video_044.mp4,yes,yes,59.12,47.78,0.8081,0.9991,success,deepghs/silero-vad-onnx
data\videos\video_045.mp4,yes,yes,48.79,42.24,0.8658,0.9998,success,deepghs/silero-vad-onnx
data\videos\video_046.mp4,yes,yes,28.0,23.94,0.8548,0.9988,success,deepghs/silero-vad-onnx
data\videos\video_047.mp4,yes,yes,35.16,26.75,0.761,0.9982,success,deepghs/silero-vad-onnx
data\videos\video_048.mp4,yes,yes,46.44,35.68,0.7683,0.9999,success,deepghs/silero-vad-onnx
data\videos\video_049.mp4,yes,yes,65.39,29.95,0.4581,0.9997,success,deepghs/silero-vad-onnx
data\videos\video_050.mp4,yes,yes,49.88,40.83,0.8187,0.9991,success,deepghs/silero-vad-onnx
